,gisjoin,year,state,blkgrpa,geoid,white_g3,black_g3,native_g3,asian_g3,hawaiianpacific_g3,other_g3,multiracial_g3,white_nhl_g3,hispanic_latino_g3
3236,G27013100705041,2010-2014,Minnesota,1,15000US271310705041,0,0,0,0,0,0,0,0,0
3237,G27013100705042,2010-2014,Minnesota,2,15000US271310705042,0,0,0,0,0,0,0,0,0
3238,G27013100706011,2010-2014,Minnesota,1,15000US271310706011,0,0,0,0,0,0,0,0,0
3239,G27013100706012,2010-2014,Minnesota,2,15000US271310706012,7,0,0,0,0,50,0,0,57
3240,G27013100706013,2010-2014,Minnesota,3,15000US271310706013,8,0,0,0,0,0,17,8,0
3241,G27013100706014,2010-2014,Minnesota,4,15000US271310706014,0,0,0,0,0,0,0,0,0
3242,G27013100706021,2010-2014,Minnesota,1,15000US271310706021,27,0,0,0,0,0,0,25,2
3243,G27013100706022,2010-2014,Minnesota,2,15000US271310706022,0,0,0,0,0,0,0,0,0
3244,G27013100707001,2010-2014,Minnesota,1,15000US271310707001,5,0,0,0,0,0,0,5,0
3245,G27013100707002,2010-2014,Minnesota,2,15000US271310707002,9,0,0,0,0,0,0,9,0
3246,G27013100707003,2010-2014,Minnesota,3,15000US271310707003,23,0,0,0,0,0,0,23,0
3247,G27013100707004,2010-2014,Minnesota,4,15000US271310707004,38,0,0,0,0,0,0,38,0
3248,G27013100708001,2010-2014,Minnesota,1,15000US271310708001,15,0,0,0,0,12,0,15,12
3249,G27013100708002,2010-2014,Minnesota,2,15000US271310708002,28,0,0,0,0,0,0,28,0
3250,G27013100708003,2010-2014,Minnesota,3,15000US271310708003,0,0,0,0,0,0,0,0,0
3251,G27013100708004,2010-2014,Minnesota,4,15000US271310708004,0,28,0,0,0,0,0,0,0
3252,G27013100708005,2010-2014,Minnesota,5,15000US271310708005,48,0,0,0,0,0,0,13,35
3253,G27013100708006,2010-2014,Minnesota,6,15000US271310708006,0,0,0,0,0,0,0,0,0
3254,G27013100709011,2010-2014,Minnesota,1,15000US271310709011,0,0,0,0,0,0,0,0,0
3255,G27013100709012,2010-2014,Minnesota,2,15000US271310709012,14,0,0,0,0,0,0,14,0
3256,G27013100709013,2010-2014,Minnesota,3,15000US271310709013,12,0,0,0,0,0,0,12,0
3257,G27013100709014,2010-2014,Minnesota,4,15000US271310709014,13,0,0,0,0,0,0,13,0
3258,G27013100709021,2010-2014,Minnesota,1,15000US271310709021,5,0,0,0,0,0,7,5,7
3259,G27013100709022,2010-2014,Minnesota,2,15000US271310709022,0,0,0,0,0,0,0,0,0
